   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000 1521.210 1521.210 ./ilamb-run:403(WorkPost)
5933/5873 1452.843    0.245 1452.955    0.247 {method 'call' of '_tkinter.tkapp' objects}
       60    0.004    0.000 1450.054   24.168 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/pyplot.py:426(figure)
       60    0.002    0.000 1450.042   24.167 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/backend_bases.py:3253(new_figure_manager)
       60    0.005    0.000 1449.973   24.166 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/backends/_backend_tk.py:944(new_figure_manager_given_figure)
       58    0.001    0.000 1403.816   24.204 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/pyplot.py:1090(subplots)
        1    0.055    0.055 1027.944 1027.944 ./ilamb-run:355(WorkConfront)
        2    0.001    0.000 1027.889  513.944 /lmt/venv/ilamb/lib/python3.8/site-packages/ILAMB/Confrontation.py:332(confront)
        2    4.074    2.037 1019.937  509.969 /lmt/venv/ilamb/lib/python3.8/site-packages/ILAMB/ilamblib.py:1311(AnalysisMeanStateSpace)
       60    0.009    0.000  959.068   15.984 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/backends/_backend_tk.py:195(__init__)
       60    0.001    0.000  950.937   15.849 /lmt/venv/ilamb/lib/python3.8/tkinter/__init__.py:2783(create_image)
       60    0.003    0.000  950.936   15.849 /lmt/venv/ilamb/lib/python3.8/tkinter/__init__.py:2763(_create)
14376642/53201   48.353    0.000  914.222    0.017 {built-in method numpy.core._multiarray_umath.implement_array_function}
       26    0.000    0.000  875.466   33.672 <__array_function__ internals>:2(apply_along_axis)
       26   89.975    3.461  875.465   33.672 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/lib/shape_base.py:269(apply_along_axis)
        2    0.390    0.195  824.543  412.271 /lmt/venv/ilamb/lib/python3.8/site-packages/ILAMB/Confrontation.py:675(modelPlots)
       42    0.012    0.000  649.714   15.469 /lmt/venv/ilamb/lib/python3.8/site-packages/ILAMB/Variable.py:1098(plot)
        4    0.006    0.002  550.603  137.651 /lmt/venv/ilamb/lib/python3.8/site-packages/ILAMB/Variable.py:667(timeOfExtrema)
        2    0.512    0.256  491.828  245.914 /lmt/venv/ilamb/lib/python3.8/site-packages/ILAMB/Confrontation.py:394(determinePlotLimits)
      720    0.015    0.000  480.275    0.667 /lmt/venv/ilamb/lib/python3.8/tkinter/__init__.py:2555(__init__)
       60    0.002    0.000  472.497    7.875 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/backends/_backend_tk.py:490(__init__)
       60    0.001    0.000  472.482    7.875 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/backends/_backend_tk.py:515(_get_toolbar)
       60    0.001    0.000  472.482    7.875 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/backends/_backend_tk.py:588(__init__)
       60    0.003    0.000  472.481    7.875 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/backend_bases.py:2625(__init__)
       60    0.010    0.000  472.474    7.875 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/backends/_backend_tk.py:637(_init_toolbar)
      420    0.017    0.000  468.355    1.115 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/backends/_backend_tk.py:620(_Button)
      420    0.003    0.000  468.220    1.115 /lmt/venv/ilamb/lib/python3.8/tkinter/__init__.py:2626(__init__)
       18   16.972    0.943  385.471   21.415 /lmt/venv/ilamb/lib/python3.8/site-packages/ILAMB/Variable.py:253(integrateInTime)
 10611070   27.377    0.000  227.414    0.000 <__array_function__ internals>:2(all)
  2217337   38.684    0.000  221.632    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/ma/core.py:3177(__getitem__)
  2216500    6.700    0.000  213.662    0.000 <__array_function__ internals>:2(argmax)
        2    0.042    0.021  204.659  102.329 /lmt/venv/ilamb/lib/python3.8/site-packages/ILAMB/Confrontation.py:556(compositePlots)
  2216500    5.771    0.000  198.262    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1112(argmax)
  2223127    8.210    0.000  192.636    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/core/fromnumeric.py:55(_wrapfunc)
  2216500   15.818    0.000  182.452    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/ma/core.py:5512(argmax)
        6    0.570    0.095  179.101   29.850 /lmt/venv/ilamb/lib/python3.8/site-packages/ILAMB/Variable.py:1578(rms)
 10611070   26.156    0.000  171.891    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2324(all)
 10630347   50.043    0.000  147.201    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/core/fromnumeric.py:73(_wrapreduction)
  2217174   19.613    0.000  121.112    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/ma/core.py:3687(filled)
        4    0.672    0.168  112.989   28.247 /lmt/venv/ilamb/lib/python3.8/site-packages/ILAMB/Variable.py:1519(rmse)
11090095/11089833   16.955    0.000  109.988    0.000 {method 'view' of 'numpy.ndarray' objects}
  4438464   59.299    0.000  106.388    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/ma/core.py:2912(_update_from)
 12869392  104.482    0.000  104.482    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  2220508   16.331    0.000   95.805    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/ma/core.py:2938(__array_finalize__)
 12819768   31.520    0.000   75.132    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/lib/shape_base.py:372(<genexpr>)
 12837008   22.051    0.000   62.567    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/core/_asarray.py:88(asanyarray)
17345181/17345173   52.733    0.000   52.852    0.000 {built-in method numpy.array}
  2216594    4.432    0.000   48.792    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/ma/core.py:356(maximum_fill_value)
  2216688    6.967    0.000   44.362    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/ma/core.py:290(_extremum_fill_value)
 12819768   29.185    0.000   43.612    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/lib/index_tricks.py:655(__next__)
  2217767    5.476    0.000   29.253    0.000 {method 'any' of 'numpy.ndarray' objects}
  2216714    4.684    0.000   27.762    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/ma/core.py:210(_recursive_fill_value)
      447   22.366    0.050   27.416    0.061 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/ma/core.py:1016(__call__)
37860270/37860234   26.289    0.000   26.316    0.000 {built-in method builtins.getattr}
      238    1.753    0.007   26.303    0.111 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/ma/core.py:5010(sum)
      196    0.026    0.000   24.964    0.127 /lmt/venv/ilamb/lib/python3.8/site-packages/ILAMB/Variable.py:75(__init__)
  1495444   24.147    0.000   24.147    0.000 {method 'copy' of 'numpy.ndarray' objects}
  2219045    4.271    0.000   23.825    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/core/_methods.py:44(_any)
  2216688    5.136    0.000   23.078    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/ma/core.py:292(_scalar_fill_value)
  2217256    9.455    0.000   22.908    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/ma/core.py:439(_check_fill_value)
       70    0.001    0.000   21.690    0.310 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/pyplot.py:661(close)
       60    0.002    0.000   21.688    0.361 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/_pylab_helpers.py:41(destroy)
       60    0.001    0.000   21.648    0.361 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/backends/_backend_tk.py:556(destroy)
       60    0.002    0.000   21.646    0.361 /lmt/venv/ilamb/lib/python3.8/tkinter/__init__.py:2299(destroy)
  503/395    0.002    0.000   21.276    0.054 <__array_function__ internals>:2(roll)
  503/395    0.213    0.000   21.270    0.054 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/core/numeric.py:1110(roll)
  6653198   12.989    0.000   21.222    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/ma/core.py:3593(_get_data)
       62    0.001    0.000   21.062    0.340 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/figure.py:2038(savefig)
       62    0.005    0.000   21.060    0.340 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/backend_bases.py:1967(print_figure)
       62    0.003    0.000   20.938    0.338 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/backends/backend_agg.py:450(print_png)
  1480913    5.254    0.000   20.332    0.000 <__array_function__ internals>:2(copyto)
 27189726   20.228    0.000   20.282    0.000 {built-in method builtins.isinstance}
       62    0.001    0.000   19.871    0.321 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/backends/backend_agg.py:382(draw)
       26    0.001    0.000   19.850    0.763 /lmt/venv/ilamb/lib/python3.8/site-packages/cartopy/mpl/geoaxes.py:1441(pcolormesh)
  3052/62    0.031    0.000   19.848    0.320 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/artist.py:30(draw_wrapper)
       62    0.004    0.000   19.846    0.320 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/figure.py:1661(draw)
       26    0.838    0.032   19.744    0.759 /lmt/venv/ilamb/lib/python3.8/site-packages/cartopy/mpl/geoaxes.py:1463(_pcolormesh_patched)
      129   18.623    0.144   18.624    0.144 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/ma/core.py:3297(__setitem__)
       60    0.003    0.000   18.390    0.306 /lmt/venv/ilamb/lib/python3.8/tkinter/__init__.py:2241(__init__)
       60   18.290    0.305   18.290    0.305 {built-in method _tkinter.create}
  2216689    6.166    0.000   17.942    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/core/numerictypes.py:438(__getitem__)
 19995481   17.797    0.000   17.798    0.000 {method 'update' of 'dict' objects}
      201    0.002    0.000   17.101    0.085 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/ma/core.py:4126(__mul__)
  720/120    0.011    0.000   16.658    0.139 /lmt/venv/ilamb/lib/python3.8/tkinter/__init__.py:2572(destroy)
   124/62    0.003    0.000   16.458    0.265 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/image.py:117(_draw_list_compositing_images)
       62    0.003    0.000   16.443    0.265 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/axes/_base.py:2573(draw)
      783    0.010    0.000   16.308    0.021 /lmt/venv/ilamb/lib/python3.8/site-packages/cartopy/crs.py:188(project_geometry)
        6    0.062    0.010   16.184    2.697 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/ma/core.py:4182(__pow__)
        6   11.518    1.920   16.122    2.687 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/ma/core.py:6726(power)
      757    0.156    0.000   15.280    0.020 /lmt/venv/ilamb/lib/python3.8/site-packages/cartopy/crs.py:343(_project_polygon)
      780    0.005    0.000   14.976    0.019 /lmt/venv/ilamb/lib/python3.8/tkinter/__init__.py:1878(__call__)
      780    0.002    0.000   14.870    0.019 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/backends/_backend_tk.py:233(filter_destroy)
       60    0.000    0.000   14.866    0.248 /lmt/venv/ilamb/lib/python3.8/tkinter/__init__.py:1307(update_idletasks)
12847458/12847432   14.481    0.000   14.811    0.000 {built-in method builtins.next}
     4724    0.021    0.000   14.780    0.003 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/transforms.py:2385(transform_path_non_affine)
     4532    0.046    0.000   14.729    0.003 /lmt/venv/ilamb/lib/python3.8/site-packages/cartopy/mpl/geoaxes.py:153(transform_path_non_affine)
        2    0.000    0.000   14.591    7.295 /lmt/venv/ilamb/lib/python3.8/site-packages/cartopy/mpl/geoaxes.py:1647(pcolor)
        2    0.000    0.000   14.491    7.245 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/collections.py:181(get_datalim)
        2    0.001    0.001   14.483    7.241 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/collections.py:188(<listcomp>)
       26    0.001    0.000   13.632    0.524 /lmt/venv/ilamb/lib/python3.8/site-packages/cartopy/mpl/geoaxes.py:350(draw)
      584    0.841    0.001   12.397    0.021 /lmt/venv/ilamb/lib/python3.8/site-packages/cartopy/crs.py:375(_attach_lines_to_boundary)
  2216739    4.384    0.000   11.584    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/ma/core.py:7043(reshape)
 10630347   10.687    0.000   10.687    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/core/fromnumeric.py:74(<dictcomp>)
       84    0.001    0.000   10.283    0.122 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/ma/core.py:4110(__sub__)
       46    0.005    0.000   10.248    0.223 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/collections.py:2005(draw)
       34    0.006    0.000    9.913    0.292 /lmt/venv/ilamb/lib/python3.8/site-packages/ILAMB/Variable.py:491(integrateInSpace)
